t	step.n	cyc.n	I	E	Q.c	Q.d	step.t	En.d	En.c	Q.c.err	Q.d.err
437	218153.048422121	4	5	0.000443469791207463	2.27602314949036	512.971035921071	928.502436586429	11660.1870361812	1993.08015016214	1147.26974618714	8.24417736301722	14.9223605879962
438	218273.072722338	4	5	0.000443469791207463	2.27725028991699	518.251342452857	928.502436586429	11780.2113363988	1993.08015016214	1159.28930035179	8.32903943227806	14.9223605879962
439	218393.097003539	4	5	0.000443469791207463	2.27847766876221	523.5316226125	928.502436586429	11900.2356175995	1993.08015016214	1171.31618187821	8.41390107770089	14.9223605879962
440	218513.121153131	4	5	0.000443434837507084	2.27970480918884	528.811891629643	928.502436586429	12020.2597671915	1993.08015016214	1183.34967500393	8.49876254404783	14.9223605879962
441	218633.1455756	4	5	0.000443434837507084	2.28093218803406	534.092159308214	928.502436586429	12140.2841899621	1993.08015016214	1195.39004911679	8.58362398888202	14.9223605879962
442	218753.169798844	4	5	0.000443434837507084	2.282466173172	539.372431506786	928.502436586429	12260.3084129048	1993.08015016214	1207.43716940464	8.66848550635906	14.9223605879962
443	218873.194109023	4	5	0.000443469791207463	2.28369355201721	544.652706718571	928.502436586429	12380.3327230835	1993.08015016214	1219.49161463143	8.75334707226276	14.9223605879962
444	218993.218365773	4	5	0.000443434837507084	2.28492069244385	549.932985531786	928.502436586429	12500.356979834	1993.08015016214	1231.55331901893	8.83820869604656	14.9223605879962
445	219113.242641239	4	5	0.000443434837507084	2.28645491600037	555.213280788571	928.502436586429	12620.3812549976	1993.08015016214	1243.62241373607	8.92307058410204	14.9223605879962
446	219233.266994885	4	5	0.000443434837507084	2.28798890113831	560.4935682675	928.502436586429	12740.4056089453	1993.08015016214	1255.69908079786	9.00793234715625	14.9223605879962
447	219353.291223865	4	5	0.000443434837507084	2.28921627998352	565.773851890357	928.502436586429	12860.429838227	1993.08015016214	1267.78369938321	9.09279404823788	14.9223605879962
448	219473.315589283	4	5	0.000443434837507084	2.29105710983276	571.054140839286	928.502436586429	12980.4542036451	1993.08015016214	1279.87647537643	9.17765583491709	14.9223605879962
449	219593.340038013	4	5	0.000443469791207463	2.2925910949707	576.334445503571	928.502436586429	13100.4786517715	1993.08015016214	1291.97752253643	9.26251787416454	14.9223605879962
450	219713.364154703	4	5	0.000443469791207463	2.29412531852722	581.614722766429	928.502436586429	13220.5027687632	1993.08015016214	1304.0870640975	9.34737947303189	14.9223605879962
451	219833.388504123	4	5	0.000443434837507084	2.29565930366516	586.8950209325	928.502436586429	13340.527118485	1993.08015016214	1316.20541181536	9.43224140784375	14.9223605879962
452	219953.412695974	4	5	0.000443434837507084	2.29719352722168	592.175317708571	928.502436586429	13460.5513100348	1993.08015016214	1328.3321908325	9.51710332031633	14.9223605879962
453	220073.437021548	4	5	0.000443434837507084	2.29934120178223	597.45559831	928.502436586429	13580.5756356081	1993.08015016214	1340.46836524214	9.60196497283929	14.9223605879962
454	220193.461243585	4	5	0.000443469791207463	2.30118203163147	602.735871181786	928.502436586429	13700.5998576453	1993.08015016214	1352.61387494964	9.68682650113584	14.9223605879962
455	220313.485642207	4	5	0.000443434837507084	2.30271601676941	608.016142935357	928.502436586429	13820.6242562675	1993.08015016214	1364.76893096821	9.7716880114611	14.9223605879962
456	220433.509880544	4	5	0.000443434837507084	2.30455708503723	613.296387675714	928.502436586429	13940.6484946048	1993.08015016214	1376.9336033525	9.85654908764541	14.9223605879962
457	220553.534215777	4	5	0.000443434837507084	2.30670475959778	618.576658096786	928.502436586429	14060.6728298375	1993.08015016214	1389.10801728857	9.94141057655549	14.9223605879962
458	220673.558558254	4	5	0.000443434837507084	2.30854558944702	623.856923000714	928.502436586429	14180.6971723147	1993.08015016214	1401.29259542964	10.0262719767972	14.9223605879962
459	220793.58279146	4	5	0.000443434837507084	2.31038641929626	629.137189267143	928.502436586429	14300.7214052186	1993.08015016214	1413.48751082214	10.1111333989362	14.9223605879962
460	220913.591404887	4	5	0.000443434837507084	2.31253409385681	634.416779644286	928.502436586429	14420.7300189474	1993.08015016214	1425.69125800893	10.1959839585689	14.9223605879962
461	221033.615741931	4	5	0.000443469791207463	2.31468200683594	639.697059512143	928.502436586429	14540.7543559913	1993.08015016214	1437.90721865071	10.2808455993023	14.9223605879962
462	221153.639996266	4	5	0.000443469791207463	2.31652283668518	644.977324096071	928.502436586429	14660.7786103269	1993.08015016214	1450.13333649	10.3657069944011	14.9223605879962
463	221273.664329688	4	5	0.000443434837507084	2.31867051124573	650.257584015357	928.502436586429	14780.8029437484	1993.08015016214	1462.37067041964	10.4505683145325	14.9223605879962
464	221393.688639263	4	5	0.000443434837507084	2.32020449638367	655.537865316071	928.502436586429	14900.8272530216	1993.08015016214	1474.61900770357	10.535429978294	14.9223605879962
465	221513.712862206	4	5	0.000443434837507084	2.32265901565552	660.818125630714	928.502436586429	15020.8514762662	1993.08015016214	1486.87827525893	10.6202913047793	14.9223605879962
466	221633.721688742	4	5	0.000443469791207463	2.32511353492737	666.097723520714	928.502436586429	15140.8603028026	1993.08015016214	1499.14707815786	10.7051419851543	14.9223605879962
467	221753.746034238	4	5	0.000443434837507084	2.32695460319519	671.378011556071	928.502436586429	15260.8846482984	1993.08015016214	1511.42815011429	10.7900037571511	14.9223605879962
468	221873.770164209	4	5	0.000443469791207463	2.32879543304443	676.658269876429	928.502436586429	15380.9087782698	1993.08015016214	1523.72027447393	10.8748650515855	14.9223605879962
469	221993.794477708	4	5	0.000443469791207463	2.33124995231628	681.938548638214	928.502436586429	15500.9330914671	1993.08015016214	1536.0233786975	10.9597266745427	14.9223605879962
470	222113.818736874	4	5	0.000443434837507084	2.33309078216553	687.218833296429	928.502436586429	15620.9573506324	1993.08015016214	1548.33746237107	11.044588392264	14.9223605879962
